Date/time,Receiver1,Receiver2,Receiver3,Receiver4,Generator1,Receiver5,Receiver6,Generator2,Generator3,Receiver7,Generator4,Receiver8,Generator5,Generator6,Receiver9,Receiver10,Receiver11,Receiver12,Generator7,Receiver13,Receiver14,Receiver15,Receiver16,Generator8,Generator9,Receiver17,Generator10,Receiver18,Receiver19,Receiver20,Receiver21
6-1-2021 0:00:00,599981,81626,440654,723585,324258,174922,610253,404428,293781,291839,37963,334713,821456,273689,582451,319386,69879,299507,1496769,112758,113881,57212,245880,641795,444750,96121,376743,36047,2203,87070,74675
6-1-2021 1:00:00,599981,81626,440654,723585,324258,174922,610253,404428,293781,291839,37963,334713,821456,273689,582451,319386,69879,299507,1496769,112758,113881,57212,245880,641795,444750,96121,376743,36047,2203,87070,74675
6-1-2021 1:15:00,600087,81633,440689,723613,324357,174935,610314,404428,293871,291855,37965,334725,821567,273767,582512,319388,69880,299509,1496769,112760,113881,57213,245915,641795,444750,96122,376743,36048,2203,87070,74675
6-1-2021 1:30:00,600154,81640,440721,723633,324434,174947,610367,404428,293942,291869,37966,334734,821662,273835,582567,319389,69881,299510,1496769,112762,113881,57214,245948,641795,444750,96123,376743,36048,2203,87071,74675
6-1-2021 1:45:00,600187,81647,440755,723662,324502,174960,610421,404428,294006,291884,37967,334742,821775,273890,582630,319390,69882,299512,1496769,112764,113881,57215,245987,641795,444750,96123,376743,36049,2203,87072,74676
6-1-2021 2:00:00,600219,81653,440791,723691,324566,174971,610471,404428,294065,291898,37968,334749,821882,273949,582690,319392,69882,299514,1496769,112765,113881,57216,246022,641795,444750,96124,376743,36049,2203,87073,74676
6-1-2021 2:15:00,600249,81661,440822,723718,324632,174984,610524,404428,294126,291912,37969,334757,821994,273999,582753,319393,69883,299516,1496769,112767,113881,57218,246058,641795,444750,96125,376743,36050,2203,87074,74677
6-1-2021 2:30:00,600280,81667,440857,723747,324699,174996,610573,404428,294187,291926,37970,334764,822103,274057,582815,319395,69886,299518,1496769,112769,113881,57219,246095,641795,444750,96126,376743,36050,2203,87075,74677
6-1-2021 2:45:00,600312,81674,440889,723773,324760,175008,610624,404428,294246,291939,37971,334771,822212,274115,582876,319396,69887,299520,1496769,112771,113881,57220,246128,641795,444750,96126,376743,36051,2203,87076,74678
6-1-2021 3:00:00,600343,81679,440922,723799,324829,175020,610678,404428,294310,291954,37973,334780,822321,274170,582938,319398,69889,299522,1496769,112772,113881,57221,246169,641795,444750,96127,376743,36051,2203,87076,74678
6-1-2021 3:15:00,600372,81683,440953,723828,324847,175031,610717,404428,294327,291967,37974,334789,822391,274187,582999,319399,69891,299524,1496817,112774,113881,57222,246202,641843,444750,96128,376794,36051,2203,87077,74680
6-1-2021 3:30:00,600402,81690,440982,723856,324847,175044,610773,404428,294327,291981,37975,334800,822517,274187,583062,319400,69892,299526,1496823,112776,113881,57223,246242,641849,444750,96128,376955,36052,2203,87078,74682
6-1-2021 3:45:00,600434,81698,441019,723880,324847,175057,610825,404428,294327,291995,37976,334810,822637,274187,583117,319402,69894,299530,1496823,112778,113881,57225,246280,641849,444750,96129,377124,36052,2203,87079,74684
6-1-2021 4:00:00,600464,81704,441052,723900,324847,175068,610873,404428,294327,292009,37977,334820,822766,274187,583172,319403,69896,299542,1496823,112780,113881,57226,246321,641849,444750,96130,377279,36053,2203,87080,74685
6-1-2021 4:15:00,600496,81711,441087,723930,324847,175081,610926,404428,294327,292022,37979,334830,822907,274187,583236,319405,69898,299564,1496823,112781,113881,57227,246358,641849,444750,96130,377466,36053,2203,87081,74687
6-1-2021 4:30:00,600527,81718,441121,723955,324847,175093,610978,404428,294327,292035,37980,334840,823030,274187,583292,319406,69899,299581,1496823,112783,113881,57228,246397,641849,444750,96131,377645,36054,2203,87082,74689
6-1-2021 4:45:00,600557,81724,441151,723980,324847,175104,611028,404428,294327,292048,37981,334850,823165,274187,583354,319407,69900,299598,1496823,112785,113881,57229,246436,641849,444750,96132,377812,36054,2203,87082,74691
6-1-2021 5:00:00,600588,81731,441185,724009,324847,175116,611081,404428,294327,292061,37982,334860,823295,274187,583417,319409,69902,299614,1496823,112787,113881,57230,246463,641849,444750,96132,377985,36055,2203,87083,74693
6-1-2021 5:15:00,600618,81737,441218,724036,324847,175128,611134,404428,294327,292073,37983,334870,823439,274187,583477,319410,69931,299630,1496823,112788,113881,57231,246495,641849,444750,96142,378186,36055,2203,87084,74694
6-1-2021 5:30:00,600650,81745,441256,724057,324847,175140,611189,404428,294327,292088,37984,334880,823587,274187,583530,319414,69953,299647,1496823,112790,113881,57232,246527,641849,444750,96164,378370,36055,2203,87085,74696
6-1-2021 5:45:00,600679,81754,441292,724070,324847,175154,611239,404428,294327,292101,37986,334890,823719,274187,583571,319417,69971,299662,1496823,112792,113881,57233,246561,641849,444752,96185,378556,36056,2203,87086,74698
6-1-2021 6:00:00,600714,81763,441335,724095,324847,175169,611297,404428,294327,292112,37987,334900,823824,274187,583630,319422,69994,299678,1496892,112794,113881,57234,246592,641849,444756,96214,378738,36056,2203,87087,74700
6-1-2021 6:15:00,600756,81775,441378,724135,324847,175189,611352,404428,294327,292124,37988,334910,823824,274187,583692,319426,70013,299694,1497091,112795,113881,57235,246627,641849,444768,96252,378942,36057,2203,87088,74702
6-1-2021 6:30:00,600816,81784,441424,724172,324847,175211,611403,404428,294327,292136,37989,334920,823824,274187,583751,319430,70030,299710,1497291,112797,113881,57236,246673,641849,444794,96290,379155,36057,2203,87088,74704
6-1-2021 6:45:00,600877,81793,441471,724212,324847,175236,611457,404428,294327,292149,37990,334931,823824,274187,583813,319434,70042,299726,1497490,112799,113881,57237,246706,641849,444823,96325,379343,36058,2203,87089,74706
6-1-2021 7:00:00,600937,81802,441517,724251,324847,175262,611512,404428,294327,292162,37991,334946,823824,274187,583873,319437,70053,299741,1497679,112801,113881,57238,246737,641849,444866,96362,379543,36058,2203,87090,74708
6-1-2021 7:15:00,601004,81814,441565,724293,324847,175291,611576,404428,294327,292175,37993,334966,823824,274187,583937,319442,70063,299758,1497881,112803,113881,57239,246783,641849,444931,96396,379735,36058,2203,87091,74709
6-1-2021 7:30:00,601062,81824,441613,724331,324847,175317,611639,404428,294327,292188,37994,334986,823824,274187,583995,319446,70073,299776,1498063,112804,113881,57240,246820,641849,445007,96433,379927,36059,2203,87092,74711
6-1-2021 7:45:00,601127,81832,441666,724369,324847,175347,611707,404428,294327,292209,37995,335008,823824,274187,584057,319450,70084,299801,1498257,112806,113881,57241,246860,641849,445114,96470,380106,36059,2203,87093,74714
6-1-2021 8:00:00,601187,81842,441718,724401,324847,175378,611771,404428,294327,292229,37996,335029,823824,274187,584110,319454,70100,299826,1498433,112808,113881,57242,246888,641849,445208,96505,380288,36060,2203,87093,74717
